Feature,Importance
InternetService_Fiber optic,2.7086025473234665
StreamingMovies_Yes,0.9768383019800292
StreamingTV_Yes,0.9494831033305555
Monthly_Tier_$100+ (Enterprise),0.6822849806809167
MultipleLines_Yes,0.6200476682220234
PaymentMethod_Electronic check,0.39504872782970957
TotalCharges,0.3705339184172277
PhoneService_Yes,0.34338249996536035
PaperlessBilling_Yes,0.33346289928388345
DeviceProtection_Yes,0.3080116047648465
Monthly_Tier_$70-$100 (Premium),0.2725023920151662
Monthly_Tier_$35-$70 (Mid),0.22059469572868515
OnlineBackup_Yes,0.20460608242845454
SeniorCitizen,0.1557969727600655
PaymentMethod_Mailed check,0.04754598684432102
gender_Male,0.02886415019923996
Partner_Yes,0.020443531289784145
TechSupport_Yes,0.01700849641417512
PaymentMethod_Credit card (automatic),0.0
OnlineSecurity_Yes,-0.04518127797085892
Signal_Stability_Index,-0.0627060374394815
Competitor_Exposure,-0.09333870509530388
Outage_History_Score,-0.0970934843911322
Dependents_Yes,-0.22458385100519437
TechSupport_No internet service,-0.38542969922774617
DeviceProtection_No internet service,-0.38542969922774617
OnlineSecurity_No internet service,-0.38542969922774617
OnlineBackup_No internet service,-0.38542969922774617
StreamingMovies_No internet service,-0.38542969922774617
StreamingTV_No internet service,-0.38542969922774617
InternetService_No,-0.38542969922774617
MultipleLines_No phone service,-0.6460796519790385
Contract_One year,-0.7407005513991768
tenure,-1.0753111772901438
Contract_Two year,-1.4570980745497362
MonthlyCharges,-2.4062550462535826
